IDD,Verfasser,GND_Verfasser,Ttitel
IDD-001,Bernhardin von Siena,11850987X,Quadragesimale de christiana Religiouse
IDD-002,Bernhardin von Siena,11850987X,Quadragesimale de christiana Religiouse
IDD-003,Bernhardin von Siena,11850987X,Quadragesimale de christiana Religiouse
IDD-004,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-005,Alfonsus de Spina,119229781,Fortalitium fidei
IDD-006,"Paulus Burgensis, Paulus von Burgos, Paulus de Santa Maria, Pablo de Santa Maria, Salomo ben Levi",119105144,Scrutinium scripturarum
IDD-007,Pierre de Blois,118923927,Opera in unum volumen collecta et emendata authore J. M. doctore theologo subsequenti ordine habentur Epistole. Sermones. Tractatus in librum Job. contra perfifiam Judaeorum. De confessione. De amicitia christiana
IDD-008,Vittore Porchetto de' Salvatici,100251420,"Victoria adversus Hebreos, in qua tum ex sacris literis, tum ex dictis Talmud ... monstratur veritas catholice fidei. Ex recognitione Augusti Justiniani episcopi Nebiensis"
IDD-009,Jacob Mantinus,119752476,"Rabi Mossei Aegyptii Dux seu Director dubita(n)tium aut perplexorum, in treis Libros diuisus, & summa accuratione Reuerendi patris Augustini Justiniani ordinis Praedicatorii Nebiensiu(m) Episcopi recognitus (etc.)"
IDD-009,Moses ben Maimon Maimonides,118576488,"Rabi Mossei Aegyptii Dux seu Director dubita(n)tium aut perplexorum, in treis Libros diuisus, & summa accuratione Reuerendi patris Augustini Justiniani ordinis Praedicatorii Nebiensiu(m) Episcopi recognitus (etc.)"
IDD-010,Alfonsus de Spina,119229781,Fortalitium fidei
IDD-011,Jacobus Perez de Valentia,119348918,Contra Judaeos
IDD-012,Jacobus Perez de Valentia,119348918,Contra Judaeos
IDD-013,Jacobus Perez de Valentia,119348918,Contra Judaeos
IDD-014,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-015,"Paulus Burgensis, Paulus von Burgos, Paulus de Santa Maria, Pablo de Santa Maria, Salomo ben Levi",119105144,Scrutinium scripturarum
IDD-016,Franciscus Tissardus,137736703,Dialogus (etc.)
IDD-017,"Paulus Burgensis, Paulus von Burgos, Paulus de Santa Maria, Pablo de Santa Maria, Salomo ben Levi",119105144,Scrutinium scripturarum
IDD-018,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-019,Victor von Carben,119858703,De vita et moribus Judaeorum
IDD-020,Jacobus Perez de Valentia,119348918,"(1) Centum ac quinquagenta Psalmi Davidici cum expositione (USTC). (2) Centu? ac quinquaginta psalmi Dauidici, cum diligentissima etiam tituloru? omniu? expositione ... Iacobi Perez de Vale?tia ... Præterea ... in cantica officialia ... eiusdem doctissimi patris expositiones. Accessit ad hec tractatus contra iudeos, etc. G.L. (BL)"
IDD-021,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-023,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-024,Johannes Duns Scotus,118528165,(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi
IDD-025,Bernhardin von Siena,11850987X,Contemplationes
IDD-026,Bernhardin von Siena,11850987X,Contemplationes
IDD-027,Nicolaus de Lyra,119238683,(1) Contra perfidiam Judaeorum (2) Quaestio de probatione per scripturas a Judaeis receptas
IDD-028,Nicolaus de Lyra,119238683,(1) Contra perfidiam Judaeorum (2) Quaestio de probatione per scripturas a Judaeis receptas
IDD-029,Nicolaus de Lyra,119238683,(1) Contra perfidiam Judaeorum (2) Quaestio de probatione per scripturas a Judaeis receptas
IDD-030,Richard Fitzralph,119373998,Summa in questionibus armenorum
IDD-031,Vittore Porchetto de' Salvatici,100251420,"Victoria adversus Hebreos, in qua tum ex sacris literis, tum ex dictis Talmud ... monstratur veritas catholice fidei. Ex recognitione Augusti Justiniani episcopi Nebiensis"
IDD-032,Vittore Porchetto de' Salvatici,100251420,"Victoria adversus Hebreos, in qua tum ex sacris literis, tum ex dictis Talmud ... monstratur veritas catholice fidei. Ex recognitione Augusti Justiniani episcopi Nebiensis"
IDD-033,Richard Fitzralph,119373998,Summa in questionibus armenorum
IDD-034,Vittore Porchetto de' Salvatici,100251420,"Victoria autoris adversus impios Hebraeos, in qua tum ex sacris literis, tum ex dictis Talmud ac Caballistarum ... monstratur veritas catholice fidei. Ex recognitione Aug. Justiniani episcopi Nebiensis"
IDD-035,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-036,Flavius ​​Magnus Aurelius Cassiodorus,118519514,(1) De Salute animae (Turrecremata). (2) Constantii imperatoris et Liberii pape pro defensione Athanasii dialogus (Cassiodorus). (3) Historia Ecclesiastica Tripartita (Cassiodorus)
IDD-036,Johannes de Turrecremata,118642928,(1) De Salute animae (Turrecremata). (2) Constantii imperatoris et Liberii pape pro defensione Athanasii dialogus (Cassiodorus). (3) Historia Ecclesiastica Tripartita (Cassiodorus)
IDD-037,Bernhardin von Siena,11850987X,De vita christiana
IDD-038,Nicolaus de Lyra,119238683,(1) Contra perfidiam Judaeorum (2) Quaestio de probatione per scripturas a Judaeis receptas
IDD-038,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-039,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-040,Petrus de Riga,10095815X,(1) Aurora? (2) Versus
IDD-041,Bernhardin von Siena,11850987X,Tractatus diversi
IDD-042,Bernhardin von Siena,11850987X,Quadragesimale de christiana Religiouse
IDD-043,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-044,Giovanni Boccaccio,11851217X,"(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis"
IDD-045,Giovanni Boccaccio,11851217X,"(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis"
IDD-046,Giovanni Boccaccio,11851217X,"(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis"
IDD-047,Johannes Pfefferkorn,118848801,Brandspiegel
IDD-048,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-049,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-050,Johannes Pfefferkorn,118848801,Klage
IDD-051,Victor von Carben,119858703,"Ain schön und seüberlich Tractat vo(n) der edlen rainen und unbeflecten junckfrauschaft Marie, etc."
IDD-052,Arnoldus de Tongern,10065844X,(1) Alphabeta in maledicos Judaeos et Thalmud (VD16 A 3763). (2) Responsiones ad argumenta quinquaginta. (VD16 A 3775)
IDD-053,Johannes Teuschlein,130084743,Auflosung ettli=||cher Fragen zu lob vnd ere || christi Jesu/ auch seiner lieben m#(ue)tter || Marie/ wider die verstockt? plin=||te Juden/ vnd alle die jhe=||nen so sie in jren lan||den vnd stet=||ten wi=||der recht ent=||halten f#(ue)ren vnd ge||dulden ne#(ue)lich geschehen
IDD-054,Johannes Pfefferkorn,118848801,Beschirmung
IDD-055,Giovanni Boccaccio,11851217X,"(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis"
IDD-056,Giovanni Boccaccio,11851217X,"(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis"
IDD-057,Konrad Celtis,118519891,"De origine, situ, moribus et institutis Norinbergae"
IDD-058,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-059,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-060,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-061,Christoph Hoffmann,122778812,De Ratisbona metropoli Boioariae et subita ibidem Judaeorum proscriptione (etc.)
IDD-062,Johannes Pfefferkorn,118848801,Beschirmung
IDD-063,Victor von Carben,119858703,Dem durchleuchtigsten hochgebornen Fursten und Herren Ludwign Phaltzgraven bey Rein Hertzogen in obren und Nidern Bayrn. Welicher eyn raby der juden gewest ist. Zu cristlichem glawbn komen weiter vindet man dar in. Eyn costliche disputatz eynes gelerten cristen und eyns gelerten juden. Darinne alle irthumb der Juden durch yr aygen schrifft aufgelost werden.
IDD-064,Thomas Murner,118585886,Der Juden benedicite wie sy Gott den Heren loben und im umb die speysz dancken
IDD-065,Johannes Pfefferkorn,118848801,Judenspiegel
IDD-066,Johannes Pfefferkorn,118848801,Judenspiegel
IDD-067,Lorenz Fries,118536028,Der Juden practica
IDD-068,Johannes Pfefferkorn,118848801,Judenspiegel
IDD-069,Johannes Pfefferkorn,118848801,Judenspiegel
IDD-070,Ulrich von Hutten,118555049,Die geschicht und bekentnuß des getaufften Juden zu Halle vor Sant Moritzen burgk auff dem Jueden kirchoff mit glueenden zangen gerissen darnach gepraten.
IDD-071,null,null,Warhafftig Sumarius der gerichts hendel
IDD-072,null,null,Warhafftig Sumarius der gerichts hendel
IDD-073,null,null,Warhafftig Sumarius der gerichts hendel
IDD-074,Johannes Herolt,100162495,(1) Discipulus de Eruditione christifidelium (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium
IDD-075,Johannes Herolt,100162495,(1) Discipulus de Eruditione christifidelium (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium
IDD-076,Johannes Herolt,100162495,(1) Discipulus de Eruditione christifidelium (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium
IDD-077,Johannes Herolt,100162495,(1) Discipulus de Eruditione christifidelium (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium
IDD-078,Johannes Herolt,100162495,(1) Discipulus de Eruditione christifidelium (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium
IDD-079,Johannes Herolt,100162495,(1) Discipulus de Eruditione christifidelium (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium
IDD-080,Johannes Reuchlin,118744658,Tütsch missive
IDD-081,Bartholomaeus Stein,119838311,"Ducum, judicum, regum Israhelitici populi cumo ex sacris tum prophanis literis hystorica methodus"
IDD-082,Pamphilus Gengenbach,11853842X,"Das ist ein erschrockenliche history von fünff schnöden juden, wie sie das bild Marie verspottetund durchstochen haben"
IDD-083,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-084,null,null,"Ein gesprech auff das kurtzt zwuschen eynem Christen und Juden auch eynem wyrthe, sampt seynem haußknecht den eckstein Christum betreffendt so noch Goetlicher schrifft abkunterfeyt ist wie alhie beygedruckt figur außweyßet."
IDD-085,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-086,null,null,"Ein hübscher newer leerspruch wie ein münch nach vil disputierens einen verstockten Juden zu Christenlichem glauben bekerte, und wie er den tauff auch gutte underweysung des münchs an nam."
IDD-087,Victor von Carben,119858703,Ein schoen und seüberlich tractat von der edlen reinen und unbefleckten junckfrawschafft Marie der hymelischen Künigin mutter unsers Herren Jesu Christi
IDD-088,null,null,Ein wunderbarlich geschichte. Wye dye merckischen Juden das hochwirdig Sacrament: gekaufft und zu martern sich understanden (USTC)
IDD-089,null,null,Ein wunderbarlich geschichte. Wye dye merckischen Juden das hochwirdig Sacrament: gekaufft und zu martern sich understanden (USTC)
IDD-090,Thomas Murner,118585886,"Enderung und schmach der bildung Marie von den Juden bewissen. vnd zu ewiger gedechtnüss durch Maximilianum den römischen keyser zu malen verschaffet in der löblichen stat kolmer, von dannen sy ouch ewig vertriben syndt"
IDD-091,Victor von Carben,119858703,"Eyn schoin vnd suberlich tractat von der edele reyne vnd vnbefleckte junckfrouschaff Marie, etc."
IDD-092,null,null,Ein wunderbarlich geschichte. Wye dye merckischen Juden das hochwirdig Sacrament: gekaufft und zu martern sich understanden (USTC)
IDD-093,null,null,Ein wunderbarlich geschichte. Wye dye merckischen Juden das hochwirdig Sacrament: gekaufft und zu martern sich understanden (USTC)
IDD-094,null,null,Ein wunderbarlich geschichte. Wye dye merckischen Juden das hochwirdig Sacrament: gekaufft und zu martern sich understanden (USTC)
IDD-095,Konrad Celtis,118519891,"De origine, situ, moribus et institutis Norinbergae"
IDD-096,Thomas Murner,118585886,Benedicite judeorum uti soliti sut ante et post cibi suptionem Benedicere et gratias agere deo egregio doctore thoma murner Argentinensi ordinis minorum interprete.
IDD-097,Thomas Murner,118585886,Huqah ha-pesah. Ritus et celebratio Phase Tudeorum cum orationibus eorum et benedictionibus mense ad litteram interpretatis (etc.) Per Thomam Munner ex Hebreo in Lateinum traducta.
IDD-098,Johannes Pfefferkorn,118848801,Handspiegel
IDD-099,Marcus Antonius Sabellicus,100960170,"Historia hebreorum ex ... Enneadibus excerpta, eius gentis ritus, leges & gesta, ab orbe co(n)dito ad Iesu Christi te(m)pora ... co(m)plectens (etc.)"
IDD-100,null,null,Hierinn auff das kürtzest ist angezaigt der dreien glauben
IDD-101,null,null,Hierinn auff das kürtzest ist angezaigt der dreien glauben
IDD-102,Johannes Pfefferkorn,118848801,Judenfeind
IDD-103,Johannes Pfefferkorn,118848801,Judenfeind
IDD-104,Johannes Pfefferkorn,118848801,Osterbüchlein
IDD-105,Johannes Pfefferkorn,118848801,Osterbüchlein
IDD-106,Johannes Pfefferkorn,118848801,Judenbeichte
IDD-107,Johannes Pfefferkorn,118848801,Judenbeichte
IDD-108,Johannes Pfefferkorn,118848801,Judenbeichte
IDD-109,Johannes Pfefferkorn,118848801,Judenbeichte
IDD-110,Johannes Pfefferkorn,118848801,Judenbeichte
IDD-111,Johannes Pfefferkorn,118848801,Zu Lob und Ehre
IDD-112,Johannes Pfefferkorn,118848801,Judenbeichte
IDD-113,Johannes Pfefferkorn,118848801,Judenbeichte
IDD-114,Giovanni Boccaccio,11851217X,"(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis"
IDD-115,Giovanni Boccaccio,11851217X,"(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis"
IDD-116,Victor von Carben,119858703,De vita et moribus Judaeorum
IDD-117,Theobaldus de Sexannia,100961932,(1) Pharetra fidei contra Iudaeos (2) Pharetra fidei catholice
IDD-118,Theobaldus de Sexannia,100961932,(1) Pharetra fidei contra Iudaeos (2) Pharetra fidei catholice
IDD-119,Theobaldus de Sexannia,100961932,(1) Pharetra fidei contra Iudaeos (2) Pharetra fidei catholice
IDD-120,Theobaldus de Sexannia,100961932,(1) Pharetra fidei contra Iudaeos (2) Pharetra fidei catholice
IDD-121,Victor von Carben,119858703,Propugnaculum fidei Christiane victoris de carben primum judei rabi et legisperiti. Nuc Christiani sacerdois. Instar dyalogi Christianum et judeum disputatores introducens
IDD-122,Ulrich Zasius,118772295,Questiones: de paruulis judeorum baptisandis: a communi doctorum assertione dissidentes. In quibus preter stili nitorem: rara: jucunda et grata invenias. Ab excellentiss. Viro Udalrico Zasio: legum doctore: earundemque in gymnasio Friburgeñ. Ordinario: edite.
IDD-123,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-124,Nicolaus de Lyra,119238683,(1) Contra perfidiam Judaeorum (2) Quaestio de probatione per scripturas a Judaeis receptas
IDD-124,Nicolaus de Lyra,119238683,(Contra quenda(m) iud(a)eum ex verbis evangelii / christum et eius doctinam impugnantem)
IDD-125,Johannes Pfefferkorn,118848801,Judenspiegel
IDD-126,Johannes Pfefferkorn,118848801,Judenspiegel
IDD-127,Johannes Pfefferkorn,118848801,Judenspiegel
IDD-128,Johannes Pfefferkorn,118848801,Streitbüchlein
IDD-129,Johannes Pfefferkorn,118848801,Sturmglocke
IDD-130,Hans Folz,118534211,Von dem Kunig Salomon und Marckolffo und einem narrn ein huebsch faßnacht spil new gemacht.
